date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,133890,131719,1357,1510
2024-06-10 18:00:00,1718042400,134380,131480,1752,2248
2024-06-11 00:00:00,1718064000,135562,132857,1733,1760
2024-06-11 06:00:00,1718085600,134072,131795,1018,1169
2024-06-11 12:00:00,1718107200,134679,132224,1273,1442
2024-06-11 18:00:00,1718128800,132257,129603,1897,2138
2024-06-12 00:00:00,1718150400,131197,128278,1653,1746
2024-06-12 06:00:00,1718172000,132414,129955,756,653
2024-06-12 12:00:00,1718193600,132460,129322,1089,1478
2024-06-12 18:00:00,1718215200,130130,127869,1126,1830
2024-06-13 00:00:00,1718236800,129825,127247,1196,1616
2024-06-13 06:00:00,1718258400,129596,127553,875,782
2024-06-13 12:00:00,1718280000,128506,126112,808,1412
2024-06-13 18:00:00,1718301600,128096,125065,1397,1780
2024-06-14 00:00:00,1718323200,128467,125179,1447,1720
2024-06-14 06:00:00,1718344800,128984,126168,1080,803
2024-06-14 12:00:00,1718366400,129187,125691,1232,1534
2024-06-14 18:00:00,1718388000,128703,125785,1460,1901
2024-06-15 00:00:00,1718409600,128769,125375,2115,1862
2024-06-15 06:00:00,1718431200,128253,126121,1160,1098
2024-06-15 12:00:00,1718452800,128265,125783,1383,1469
2024-06-15 18:00:00,1718474400,128257,125785,1931,1696
2024-06-16 00:00:00,1718496000,127924,125725,1696,1818
2024-06-16 06:00:00,1718517600,126276,124217,1146,1318
2024-06-16 12:00:00,1718539200,127155,125116,1362,1612
2024-06-16 18:00:00,1718560800,126536,124440,1567,1766
2024-06-17 00:00:00,1718582400,126500,124176,869,1690
2024-06-17 06:00:00,1718604000,126092,124577,1011,1006
2024-06-17 12:00:00,1718625600,126257,124300,1059,1179
2024-06-17 18:00:00,1718647200,125716,122828,2013,1830
2024-06-18 00:00:00,1718668800,125068,122346,1795,1892
2024-06-18 06:00:00,1718690400,124443,121921,878,1261
2024-06-18 12:00:00,1718712000,124116,121880,1431,1569
2024-06-18 18:00:00,1718733600,124421,121897,1530,2039
2024-06-19 00:00:00,1718755200,124954,122122,1517,1553
2024-06-19 06:00:00,1718776800,124595,122233,684,1007
2024-06-19 12:00:00,1718798400,119979,119680,2042,1719
2024-06-19 18:00:00,1718820000,122876,120022,1846,1696
