date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,3242010,3204864,266,211
2024-06-10 18:00:00,1718042400,3220588,3182215,383,286
2024-06-11 00:00:00,1718064000,3072818,3027371,304,229
2024-06-11 06:00:00,1718085600,3070790,3031874,203,124
2024-06-11 12:00:00,1718107200,3090983,3048734,226,192
2024-06-11 18:00:00,1718128800,3078720,3037660,300,266
2024-06-12 00:00:00,1718150400,3054246,3021080,259,198
2024-06-12 06:00:00,1718172000,3077522,3035613,142,103
2024-06-12 12:00:00,1718193600,3073713,3035176,264,167
2024-06-12 18:00:00,1718215200,3069748,3039742,265,271
2024-06-13 00:00:00,1718236800,3052836,3020046,242,245
2024-06-13 06:00:00,1718258400,3059925,3039672,293,133
2024-06-13 12:00:00,1718280000,3042372,2993013,245,229
2024-06-13 18:00:00,1718301600,3050339,3001231,367,290
2024-06-14 00:00:00,1718323200,3105827,3047940,304,235
2024-06-14 06:00:00,1718344800,3108357,3056924,157,158
2024-06-14 12:00:00,1718366400,3105659,3061112,217,192
2024-06-14 18:00:00,1718388000,3096101,3048452,244,263
2024-06-15 00:00:00,1718409600,3105478,3051740,266,224
2024-06-15 06:00:00,1718431200,3133566,3078565,150,145
2024-06-15 12:00:00,1718452800,3217312,3168398,233,239
2024-06-15 18:00:00,1718474400,3223901,3167953,358,311
2024-06-16 00:00:00,1718496000,3204940,3157986,266,269
2024-06-16 06:00:00,1718517600,3162422,3120023,195,145
2024-06-16 12:00:00,1718539200,3223236,3171156,252,217
2024-06-16 18:00:00,1718560800,3184668,3135450,370,270
2024-06-17 00:00:00,1718582400,3202652,3151078,284,222
2024-06-17 06:00:00,1718604000,3140134,3090629,144,138
2024-06-17 12:00:00,1718625600,3200172,3164396,252,147
2024-06-17 18:00:00,1718647200,3171726,3118808,385,259
2024-06-18 00:00:00,1718668800,3193135,3138793,266,194
2024-06-18 06:00:00,1718690400,3202241,3161659,192,121
2024-06-18 12:00:00,1718712000,3160812,3117904,200,195
2024-06-18 18:00:00,1718733600,3137645,3095454,322,295
2024-06-19 00:00:00,1718755200,3129988,3085653,260,271
2024-06-19 06:00:00,1718776800,3167920,3114592,122,133
2024-06-19 12:00:00,1718798400,3200516,3133627,320,220
2024-06-19 18:00:00,1718820000,3174475,3136285,402,245
2024-06-20 00:00:00,1718841600,3193270,3154080,240,237
2024-06-20 06:00:00,1718863200,3221719,3178359,165,145
2024-06-20 12:00:00,1718884800,3212314,3167700,196,181
2024-06-20 18:00:00,1718906400,3201968,3157969,329,240
2024-06-21 00:00:00,1718928000,3207862,3158878,269,208
2024-06-21 06:00:00,1718949600,3213439,3159900,175,129
2024-06-21 12:00:00,1718971200,3218100,3178311,273,191
2024-06-21 18:00:00,1718992800,3236376,3181249,405,247
2024-06-22 00:00:00,1719014400,3272108,3215382,383,261
2024-06-22 06:00:00,1719036000,3256503,3205353,191,137
2024-06-22 12:00:00,1719057600,3266133,3208609,277,231
2024-06-22 18:00:00,1719079200,3260715,3215517,367,312
2024-06-23 00:00:00,1719100800,3254974,3208980,366,200
2024-06-23 06:00:00,1719122400,3234861,3185347,147,160
2024-06-23 12:00:00,1719144000,3226810,3176468,351,230
2024-06-23 18:00:00,1719165600,3223110,3169986,490,394
2024-06-24 00:00:00,1719187200,3220978,3165728,301,285
2024-06-24 06:00:00,1719208800,3272974,3223063,196,133
2024-06-24 12:00:00,1719230400,3268983,3219423,294,224
2024-06-24 18:00:00,1719252000,3268164,3220571,355,268
2024-06-25 00:00:00,1719273600,3275066,3223408,281,231
2024-06-25 06:00:00,1719295200,3295206,3241619,174,113
2024-06-25 12:00:00,1719316800,3286762,3243070,242,238
2024-06-25 18:00:00,1719338400,3278133,3235916,339,276
2024-06-26 00:00:00,1719360000,3295858,3251793,275,248
2024-06-26 06:00:00,1719381600,3293682,3250918,122,104
2024-06-26 12:00:00,1719403200,3249607,3174169,231,183
2024-06-26 18:00:00,1719424800,3273974,3216443,345,276
2024-06-27 00:00:00,1719446400,3315025,3275886,303,239
2024-06-27 06:00:00,1719468000,3325104,3276360,171,129
2024-06-27 12:00:00,1719489600,3346661,3304401,234,199
2024-06-27 18:00:00,1719511200,3393903,3349818,339,290
2024-06-28 00:00:00,1719532800,3331026,3273744,284,201
2024-06-28 06:00:00,1719554400,3381844,3331175,159,162
2024-06-28 12:00:00,1719576000,3404144,3359184,211,208
2024-06-28 18:00:00,1719597600,3629370,3537671,322,312
2024-06-29 00:00:00,1719619200,3470589,3403409,300,270
2024-06-29 06:00:00,1719640800,3392384,3351954,220,198
2024-06-29 12:00:00,1719662400,3470912,3410301,258,243
2024-06-29 18:00:00,1719684000,3474260,3401952,490,322
2024-06-30 00:00:00,1719705600,3401335,3347880,307,261
2024-06-30 06:00:00,1719727200,3493032,3432178,292,157
2024-06-30 12:00:00,1719748800,3555245,3520061,271,286
2024-06-30 18:00:00,1719770400,3469289,3412592,523,359
2024-07-01 00:00:00,1719792000,3445633,3396987,278,271
2024-07-01 06:00:00,1719813600,3444026,3397501,180,122
2024-07-01 12:00:00,1719835200,3435113,3384383,230,213
2024-07-01 18:00:00,1719856800,3432767,3381202,375,291
2024-07-02 00:00:00,1719878400,3451836,3407043,300,240
2024-07-02 06:00:00,1719900000,3449436,3403011,199,135
2024-07-02 12:00:00,1719921600,3450178,3406324,209,194
2024-07-02 18:00:00,1719943200,3444992,3403425,403,277
2024-07-03 00:00:00,1719964800,3491056,3444124,264,245
2024-07-03 06:00:00,1719986400,3482254,3435873,179,149
2024-07-03 12:00:00,1720008000,3405959,3352866,311,220
2024-07-03 18:00:00,1720029600,3432872,3386707,326,306
2024-07-04 00:00:00,1720051200,3527167,3473692,289,278
2024-07-04 06:00:00,1720072800,3513249,3461995,178,154
2024-07-04 12:00:00,1720094400,3471031,3426058,300,235
2024-07-04 18:00:00,1720116000,3465217,3421004,307,260
2024-07-05 00:00:00,1720137600,3523872,3491818,233,243
2024-07-05 06:00:00,1720159200,3593680,3544739,171,161
2024-07-05 12:00:00,1720180800,3532381,3485180,216,194
2024-07-05 18:00:00,1720202400,3520595,3479668,378,319
2024-07-06 00:00:00,1720224000,3616160,3578675,313,260
2024-07-06 06:00:00,1720245600,3495229,3450401,178,184
2024-07-06 12:00:00,1720267200,3621259,3574552,292,250
2024-07-06 18:00:00,1720288800,3667534,3625998,300,371
2024-07-07 00:00:00,1720310400,3783616,3739014,265,311
2024-07-07 06:00:00,1720332000,3765698,3716919,196,174
2024-07-07 12:00:00,1720353600,3735086,3671689,317,276
2024-07-07 18:00:00,1720375200,3665926,3615282,472,348
2024-07-08 00:00:00,1720396800,3685259,3633775,302,261
2024-07-08 06:00:00,1720418400,3658221,3605395,167,146
2024-07-08 12:00:00,1720440000,3755000,3724233,251,212
2024-07-08 18:00:00,1720461600,3687611,3639263,350,316
2024-07-09 00:00:00,1720483200,3699085,3652943,282,262
