date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
9/6/23 0:00,1693958400,1454188,1436174,1931,1823
9/7/23 0:00,1694044800,1476230,1462323,1920,1897
9/8/23 0:00,1694131200,1518417,1503441,1841,2260
9/9/23 0:00,1694217600,1511792,1494355,2185,2647
9/10/23 0:00,1694304000,1494277,1476987,2429,2328
9/11/23 0:00,1694390400,1481644,1466097,2192,2184
9/12/23 0:00,1694476800,1469447,1452185,1967,1951
9/13/23 0:00,1694563200,1450157,1428113,2289,2343
2023-09-14 00:00:00,1694649600,1449237,1434311,2156,2077
2023-09-15 00:00:00,1694736000,1443693,1425499,2042,1918
2023-09-16 00:00:00,1694822400,1462269,1445793,2167,2582
2023-09-17 00:00:00,1694908800,1481683,1462959,2614,2861
2023-09-18 00:00:00,1694995200,1504463,1486673,1329,1767
2023-09-19 00:00:00,1695081600,1510559,1491597,2132,2512
2023-09-20 00:00:00,1695168000,1502718,1484256,2406,2288
2023-09-21 00:00:00,1695254400,1501958,1486092,1804,1964
2023-09-22 00:00:00,1695340800,1552401,1534116,1904,2522
2023-09-23 00:00:00,1695427200,1621470,1601003,2262,2957
2023-09-24 00:00:00,1695513600,1668298,1645103,2183,3129
2023-09-25 00:00:00,1695600000,1624585,1611772,2043,1888
2023-09-26 00:00:00,1695686400,1618397,1599479,2111,1921
2023-09-27 00:00:00,1695772800,1605798,1584819,2248,2029
2023-09-28 00:00:00,1695859200,1591279,1573076,2282,2088
2023-09-29 00:00:00,1695945600,1581904,1564415,1920,1994
2023-09-30 00:00:00,1696032000,1576458,1558464,2258,2452
2023-10-01 00:00:00,1696118400,1608800,1596114,2616,3225
2023-10-02 00:00:00,1696204800,1593208,1576481,2338,2173
2023-10-03 00:00:00,1696291200,1589841,1571201,2128,2294
2023-10-04 00:00:00,1696377600,1574921,1557183,1882,2037
2023-10-05 00:00:00,1696464000,1576870,1562382,2040,1967
2023-10-06 00:00:00,1696550400,1572230,1555520,2094,2086
2023-10-07 00:00:00,1696636800,1577152,1560458,2512,2606
2023-10-08 00:00:00,1696723200,1575136,1559325,2812,2698
2023-10-09 00:00:00,1696809600,1568293,1551663,2264,2232
2023-10-10 00:00:00,1696896000,1566225,1552857,1986,2224
2023-10-11 00:00:00,1696982400,1567638,1553810,2342,2174
2023-10-12 00:00:00,1697068800,1567245,1553669,1936,2116
2023-10-13 00:00:00,1697155200,1566202,1550898,2237,2321
2023-10-14 00:00:00,1697241600,1565906,1549618,2911,2642
2023-10-15 00:00:00,1697328000,1558544,1545387,2225,3109
2023-10-16 00:00:00,1697414400,1553586,1538751,2249,2421
2023-10-17 00:00:00,1697500800,1552470,1539192,2464,2297
2023-10-18 00:00:00,1697587200,1567306,1549857,2128,2271
2023-10-19 00:00:00,1697673600,1553425,1536706,2354,2238
2023-10-20 00:00:00,1697760000,1549321,1532255,2425,2694
2023-10-21 00:00:00,1697846400,1540622,1526685,2282,2384
2023-10-22 00:00:00,1697932800,1523536,1506663,2710,2559
2023-10-23 00:00:00,1698019200,1506268,1487153,2096,2161
2023-10-24 00:00:00,1698105600,1441912,1425477,2147,2029
2023-10-25 00:00:00,1698192000,1424309,1402656,2051,2433
2023-10-26 00:00:00,1698278400,1416905,1399359,2042,2438
2023-10-27 00:00:00,1698364800,1407351,1393605,1949,2089
2023-10-28 00:00:00,1698451200,1422988,1409166,2323,2787
2023-10-29 00:00:00,1698537600,1405176,1387809,2533,3167
2023-10-30 00:00:00,1698624000,1387152,1372113,2204,2000
2023-10-31 00:00:00,1698710400,1370469,1355267,1874,2250
2023-11-01 00:00:00,1698796800,1373732,1360389,1934,2132
2023-11-02 00:00:00,1698883200,1376719,1365450,1606,2195
2023-11-03 00:00:00,1698969600,1388407,1375553,2251,2217
2023-11-04 00:00:00,1699056000,1383620,1370349,2070,2334
2023-11-05 00:00:00,1699142400,1380848,1367130,2504,2507
2023-11-06 00:00:00,1699228800,1404427,1389829,2118,2230
2023-11-07 00:00:00,1699315200,1396401,1380495,2009,2368
2023-11-08 00:00:00,1699401600,1390623,1376201,2474,2039
2023-11-09 00:00:00,1699488000,1384822,1370818,1778,2348
2023-11-10 00:00:00,1699574400,1376152,1362649,2353,2168
2023-11-11 00:00:00,1699660800,1364295,1347990,2696,2742
2023-11-12 00:00:00,1699747200,1355429,1340518,2509,2524
2023-11-13 00:00:00,1699833600,1343692,1330780,2122,2131
2023-11-14 00:00:00,1699920000,1332683,1317021,2115,2133
2023-11-15 00:00:00,1700006400,1321576,1302302,1729,2275
2023-11-16 00:00:00,1700092800,1307283,1291986,1767,1700
2023-11-17 00:00:00,1700179200,1291709,1276244,1819,1782
2023-11-18 00:00:00,1700265600,1316502,1300910,1802,1760
2023-11-19 00:00:00,1700352000,1329259,1312554,2007,1953
2023-11-20 00:00:00,1700438400,1331213,1319066,1466,1590
2023-11-21 00:00:00,1700524800,1339082,1325372,1237,1204
2023-11-22 00:00:00,1700611200,1344463,1327912,1563,1641
2023-11-23 00:00:00,1700697600,1362633,1345077,1616,1450
2023-11-24 00:00:00,1700784000,1374172,1356336,1714,1884
2023-11-25 00:00:00,1700870400,1340596,1324406,2157,1777
2023-11-26 00:00:00,1700956800,1333845,1322438,2008,1921
2023-11-27 00:00:00,1701043200,1340269,1325413,1509,1592
2023-11-28 00:00:00,1701129600,1364692,1346601,1680,1580
2023-11-29 00:00:00,1701216000,1369156,1353285,1489,1625
2023-11-30 00:00:00,1701302400,1387182,1372277,1633,1663
2023-12-01 00:00:00,1701388800,1426671,1410676,1698,1966
2023-12-02 00:00:00,1701475200,1424990,1411587,2063,1977
2023-12-03 00:00:00,1701561600,1428741,1415829,2035,1943
2023-12-04 00:00:00,1701648000,1415627,1398067,1833,1655
2023-12-05 00:00:00,1701734400,1397484,1379664,1965,1693
2023-12-06 00:00:00,1701820800,1387817,1366892,1762,1611
2023-12-07 00:00:00,1701907200,1377310,1360345,1517,1614
2023-12-08 00:00:00,1701993600,1381886,1365715,1630,1614
2023-12-09 00:00:00,1702080000,1393098,1378427,1973,1908
2023-12-10 00:00:00,1702166400,1396511,1384079,1735,2057
2023-12-11 00:00:00,1702252800,1464579,1445791,1916,2039
2023-12-12 00:00:00,1702339200,1488677,1471310,1683,1652
2023-12-13 00:00:00,1702425600,1498047,1480101,1926,1686
2023-12-14 00:00:00,1702512000,1539169,1522915,1601,1909
2023-12-15 00:00:00,1702598400,1554729,1539774,1560,1679
2023-12-16 00:00:00,1702684800,1606744,1591045,2039,2456
2023-12-17 00:00:00,1702771200,1713098,1687747,1920,2447
2023-12-18 00:00:00,1702857600,1687189,1664563,1718,2177
2023-12-19 00:00:00,1702944000,1671158,1652736,2011,1691
2023-12-20 00:00:00,1703030400,1679066,1664584,2317,1742
2023-12-21 00:00:00,1703116800,1748450,1734046,1864,1912
2023-12-22 00:00:00,1703203200,1786152,1770561,1953,2230
2023-12-23 00:00:00,1703289600,1774601,1765083,2418,2979
2023-12-24 00:00:00,1703376000,1762946,1745575,2060,2287
2023-12-25 00:00:00,1703462400,1830837,1815757,2172,3245
2023-12-26 00:00:00,1703548800,1816032,1796451,2144,2789
2023-12-27 00:00:00,1703635200,1779252,1758069,2334,2474
2023-12-28 00:00:00,1703721600,1738093,1716961,1961,2337
2023-12-29 00:00:00,1703808000,1719360,1693677,2668,2762
2023-12-30 00:00:00,1703894400,1709525,1689129,2820,2543
2023-12-31 00:00:00,1703980800,1681275,1663639,2522,2379
2024-01-01 00:00:00,1704067200,1674113,1651358,2377,2379
2024-01-02 00:00:00,1704153600,1630859,1610036,2329,2174
2024-01-03 00:00:00,1704240000,1609987,1586260,1944,1988
2024-01-04 00:00:00,1704326400,1584204,1561906,2368,2450
2024-01-05 00:00:00,1704412800,1557287,1538789,2102,2244
2024-01-06 00:00:00,1704499200,1534883,1515287,2532,2853
2024-01-07 00:00:00,1704585600,1524217,1506951,2819,2948
2024-01-08 00:00:00,1704672000,1493259,1476785,1957,1976
2024-01-09 00:00:00,1704758400,1483548,1466376,2398,2079
2024-01-10 00:00:00,1704844800,1469614,1450965,2122,2270
2024-01-11 00:00:00,1704931200,1465127,1452042,1918,1851
2024-01-12 00:00:00,1705017600,1514886,1502622,2319,2791
2024-01-13 00:00:00,1705104000,1546164,1531472,2608,3256
2024-01-14 00:00:00,1705190400,1544048,1529153,2508,2644
2024-01-15 00:00:00,1705276800,1580550,1561999,2186,2829
2024-01-16 00:00:00,1705363200,1540617,1529326,2434,2295
2024-01-17 00:00:00,1705449600,1542354,1529162,2369,2497
2024-01-18 00:00:00,1705536000,1570376,1557757,2223,2687
2024-01-19 00:00:00,1705622400,1591425,1575546,2142,2399
2024-01-20 00:00:00,1705708800,1654263,1639356,2850,3434
2024-01-21 00:00:00,1705795200,1684631,1666396,2195,3141
2024-01-22 00:00:00,1705881600,1704099,1686667,2325,2793
2024-01-23 00:00:00,1705968000,1710840,1693271,2415,2366
2024-01-24 00:00:00,1706054400,1726389,1700557,2514,2539
2024-01-25 00:00:00,1706140800,1791095,1777021,2233,2630
2024-01-26 00:00:00,1706227200,1788534,1768284,674,728
2024-01-27 00:00:00,1706313600,1808300,1793504,2160,2906
2024-01-28 00:00:00,1706400000,1842265,1822722,3106,3062
2024-01-29 00:00:00,1706486400,1863974,1847448,2311,2565
2024-01-30 00:00:00,1706572800,1877414,1857335,2358,2424
2024-01-31 00:00:00,1706659200,1908006,1887258,2173,2022
2024-02-01 00:00:00,1706745600,1902960,1883219,1956,1765
2024-02-02 00:00:00,1706832000,1891097,1869716,2474,2143
2024-02-03 00:00:00,1706918400,1882780,1872425,2622,2758
2024-02-04 00:00:00,1707004800,1876853,1859947,3352,3492
2024-02-05 00:00:00,1707091200,1854138,1833881,2914,2211
2024-02-06 00:00:00,1707177600,1850464,1829563,2087,2099
2024-02-07 00:00:00,1707264000,1832001,1809763,2452,2276
2024-02-08 00:00:00,1707350400,1814196,1792900,2170,2061
2024-02-09 00:00:00,1707436800,1807817,1789878,2194,1981
2024-02-10 00:00:00,1707523200,1787006,1766775,2141,2422
2024-02-11 00:00:00,1707609600,1782291,1757697,3086,2537
2024-02-12 00:00:00,1707696000,1706012,1688182,1832,1984
2024-02-13 00:00:00,1707782400,1713958,1691385,2288,2008
2024-02-14 00:00:00,1707868800,1696269,1670995,2037,1858
2024-02-15 00:00:00,1707955200,1686322,1667983,2059,2023
2024-02-16 00:00:00,1708041600,1683730,1664266,2365,2388
2024-02-17 00:00:00,1708128000,1734877,1716568,2492,3028
2024-02-18 00:00:00,1708214400,1721018,1700801,2975,3046
2024-02-19 00:00:00,1708300800,1754084,1732096,2733,2433
2024-02-20 00:00:00,1708387200,1772244,1752065,2188,2546
2024-02-21 00:00:00,1708473600,1788978,1766620,2017,2178
2024-02-22 00:00:00,1708560000,1774780,1754750,2055,2233
2024-02-23 00:00:00,1708646400,1780040,1761130,2328,2194
2024-02-24 00:00:00,1708732800,1810025,1790514,2842,2966
2024-02-25 00:00:00,1708819200,1798754,1781473,2554,2634
2024-02-26 00:00:00,1708905600,1809302,1787120,2362,2216
2024-02-27 00:00:00,1708992000,1789198,1768305,1879,1826
2024-02-28 00:00:00,1709078400,1814966,1795803,2198,2245
2024-02-29 00:00:00,1709164800,1857980,1839515,2546,2588
2024-03-01 00:00:00,1709251200,1889475,1863920,2619,2648
2024-03-02 00:00:00,1709337600,1906236,1887246,2680,2836
2024-03-03 00:00:00,1709424000,1895740,1876022,2700,2763
2024-03-04 00:00:00,1709510400,1881346,1858338,2652,2253
2024-03-05 00:00:00,1709596800,1867590,1846028,2510,2253
2024-03-06 00:00:00,1709683200,1857430,1830759,2280,2008
2024-03-07 00:00:00,1709769600,1876231,1857238,2318,2143
2024-03-08 00:00:00,1709856000,1879306,1861573,2024,2325
