date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2023-09-13,1694563200,2047178,2019160,925,792
2023-09-14,1694649600,2072889,2044184,950,963
2023-09-15,1694736000,2100419,2067689,1062,914
2023-09-16,1694822400,2110317,2076963,1243,972
2023-09-17,1694908800,2113039,2080300,1428,1105
2023-09-18,1694995200,2091456,2057883,792,641
2023-09-19,1695081600,2154935,2127641,1074,867
2023-09-20,1695168000,2302478,2234199,1030,1073
2023-09-21,1695254400,2301252,2261995,1082,1037
2023-09-22,1695340800,2379178,2338632,1088,893
2023-09-23,1695427200,2350229,2314706,1311,1001
2023-09-24,1695513600,2254865,2223999,1500,1118
2023-09-25,1695600000,2175922,2155537,1236,894
2023-09-26,1695686400,2186358,2151219,1091,1006
2023-09-27,1695772800,2234910,2200598,1033,1015
2023-09-28,1695859200,2283278,2249938,1046,832
2023-09-29,1695945600,2302068,2266678,1047,981
2023-09-30,1696032000,2459527,2416937,1152,1121
2023-10-01,1696118400,2483068,2441855,1234,1076
2023-10-02,1696204800,2393262,2361455,1103,933
2023-10-03,1696291200,2483605,2449418,1124,1020
2023-10-04,1696377600,2469564,2433256,994,973
2023-10-05,1696464000,2405231,2367447,1132,907
2023-10-06,1696550400,2411502,2381341,987,876
2023-10-07,1696636800,2493572,2463261,1186,1136
2023-10-08,1696723200,2481850,2450526,1325,1223
2023-10-09,1696809600,2540492,2502167,1111,1069
2023-10-10,1696896000,2535170,2494541,1126,990
2023-10-11,1696982400,2568164,2527740,1036,880
2023-10-12,1697068800,2595460,2560329,1251,917
2023-10-13,1697155200,2614878,2575829,1133,956
2023-10-14,1697241600,2685751,2650683,1244,1099
2023-10-15,1697328000,2694594,2654706,1305,1093
2023-10-16,1697414400,2806500,2773332,1094,1091
2023-10-17,1697500800,2860460,2815811,1026,1000
2023-10-18,1697587200,2931222,2883976,1027,956
2023-10-19,1697673600,2961325,2924041,1081,946
2023-10-20,1697760000,3024864,2989632,1146,1023
2023-10-21,1697846400,3213485,3164828,1064,1117
2023-10-22,1697932800,3225017,3176750,1144,1111
2023-10-23,1698019200,3290608,3246480,915,927
2023-10-24,1698105600,3247351,3210718,1113,904
2023-10-25,1698192000,3264733,3228038,1051,859
2023-10-26,1698278400,3216669,3168851,1188,942
2023-10-27,1698364800,3181075,3137572,1071,983
2023-10-28,1698451200,3132235,3090926,1097,930
2023-10-29,1698537600,3105376,3064928,1092,1021
2023-10-30,1698624000,3043235,3008011,1014,905
2023-10-31,1698710400,2995799,2960929,1058,884
2023-11-01,1698796800,2896946,2854760,1080,807
2023-11-02,1698883200,2906548,2867096,1105,940
2023-11-03,1698969600,2963806,2926272,1065,996
2023-11-04,1699056000,3008348,2973223,1201,1038
2023-11-05,1699142400,3028622,2992518,1156,1121
2023-11-06,1699228800,3002238,2971085,1028,950
2023-11-07,1699315200,2976711,2945691,994,803
2023-11-08,1699401600,3030794,2993438,1021,969
2023-11-09,1699488000,3022144,2987979,943,889
2023-11-10,1699574400,2971761,2928344,1098,852
2023-11-11,1699660800,2935850,2900947,1233,997
2023-11-12,1699747200,2879596,2844485,1094,1065
2023-11-13,1699833600,2862375,2826294,1052,915
2023-11-14,1699920000,2939333,2903887,971,1030
2023-11-15,1700006400,2872285,2841000,796,808
2023-11-16,1700092800,2878414,2845333,686,690
2023-11-17,1700179200,2845048,2820946,704,713
2023-11-18,1700265600,2902962,2820028,776,923
2023-11-19,1700352000,2799556,2771334,1102,821
2023-11-20,1700438400,2832805,2796705,714,660
2023-11-21,1700524800,2898775,2858786,622,573
2023-11-22,1700611200,2911455,2874055,714,748
2023-11-23,1700697600,2919758,2876195,818,704
2023-11-24,1700784000,2878100,2839709,816,710
2023-11-25,1700870400,2917040,2887932,777,768
2023-11-26,1700956800,2958971,2925512,940,792
2023-11-27,1701043200,2942398,2908547,830,689
2023-11-28,1701129600,2992629,2957082,747,757
2023-11-29,1701216000,2941647,2900275,726,671
2023-11-30,1701302400,2877984,2843594,821,652
2023-12-01,1701388800,2868088,2832023,778,712
2023-12-02,1701475200,2907082,2869720,872,776
2023-12-03,1701561600,2913287,2882469,872,954
2023-12-04,1701648000,2947218,2913625,853,766
2023-12-05,1701734400,2958459,2917364,821,730
2023-12-06,1701820800,2966609,2929282,834,716
2023-12-07,1701907200,3013477,2975967,819,793
2023-12-08,1701993600,2954319,2910384,829,689
2023-12-09,1702080000,3166729,3145952,873,785
2023-12-10,1702166400,3255475,3197870,872,891
2023-12-11,1702252800,3296235,3258884,734,734
2023-12-12,1702339200,3453901,3400116,756,799
2023-12-13,1702425600,3532317,3481106,849,745
2023-12-14,1702512000,3419280,3381196,887,761
2023-12-15,1702598400,3406331,3365269,810,674
2023-12-16,1702684800,3328493,3289225,899,922
2023-12-17,1702771200,3271670,3231211,940,753
2023-12-18,1702857600,3214690,3165317,968,742
2023-12-19,1702944000,3151374,3108465,858,729
2023-12-20,1703030400,3059478,3020156,708,660
2023-12-21,1703116800,3062441,3021595,838,697
2023-12-22,1703203200,3054916,3016698,856,720
2023-12-23,1703289600,3034074,2995680,1032,931
2023-12-24,1703376000,2992974,2956628,892,732
2023-12-25,1703462400,3002827,2989925,808,756
2023-12-26,1703548800,3012146,2983308,897,772
2023-12-27,1703635200,3167121,3117226,954,885
2023-12-28,1703721600,3216672,3180322,1085,862
2023-12-29,1703808000,3234035,3191393,1017,982
2023-12-30,1703894400,3196181,3157869,1153,998
2023-12-31,1703980800,3231892,3192881,961,862
2024-01-01,1704067200,3244812,3207142,943,724
2024-01-02,1704153600,3176408,3161548,1207,936
2024-01-03,1704240000,2976824,2945695,1263,868
2024-01-04,1704326400,3115310,3073152,1055,860
2024-01-05,1704412800,3207169,3168340,953,889
2024-01-06,1704499200,3382060,3343831,1145,1079
2024-01-07,1704585600,3300375,3260515,1146,1017
2024-01-08,1704672000,3307165,3277648,953,859
2024-01-09,1704758400,3293676,3254510,998,802
2024-01-10,1704844800,3506719,3434942,857,915
2024-01-11,1704931200,3556383,3510399,939,921
2024-01-12,1705017600,3523338,3479437,1061,927
2024-01-13,1705104000,3596653,3561071,1154,978
2024-01-14,1705190400,3698683,3656856,1313,1045
2024-01-15,1705276800,3615135,3570871,1232,942
2024-01-16,1705363200,3636897,3595604,982,840
2024-01-17,1705449600,3576049,3521478,1009,905
2024-01-18,1705536000,3505679,3470434,936,858
2024-01-19,1705622400,3460076,3413517,1030,910
2024-01-20,1705708800,3440722,3405849,1178,958
2024-01-21,1705795200,3370575,3331673,1442,1033
2024-01-22,1705881600,3287849,3244127,1013,824
2024-01-23,1705968000,3364888,3325721,1015,829
2024-01-24,1706054400,3342679,3299665,947,756
2024-01-25,1706140800,3298834,3258770,970,815
2024-01-26,1706227200,3286113,3245256,321,260
2024-01-27,1706313600,3228360,3188303,1083,981
2024-01-28,1706400000,3186115,3148519,1089,1025
2024-01-29,1706486400,3138163,3101080,1022,789
2024-01-30,1706572800,3097711,3056971,855,689
2024-01-31,1706659200,3124432,3087421,836,779
2024-02-01,1706745600,3146353,3116615,1006,797
2024-02-02,1706832000,3170064,3133306,910,756
2024-02-03,1706918400,3221170,3182571,1098,988
2024-02-04,1707004800,3231962,3191782,1134,1079
2024-02-05,1707091200,3291663,3238765,909,913
2024-02-06,1707177600,3338225,3292362,890,933
2024-02-07,1707264000,3324626,3256695,1026,932
2024-02-08,1707350400,3272420,3218129,1053,900
2024-02-09,1707436800,3241013,3190149,1138,858
2024-02-10,1707523200,3251422,3208935,1206,1036
2024-02-11,1707609600,3164150,3107044,1178,936
2024-02-12,1707696000,3149483,3101350,1029,841
2024-02-13,1707782400,3170501,3122207,980,888
2024-02-14,1707868800,3214360,3151373,1010,815
2024-02-15,1707955200,3253614,3209380,927,856
2024-02-16,1708041600,3202090,3154860,1049,956
2024-02-17,1708128000,3221351,3171878,1172,1012
2024-02-18,1708214400,3250160,3202789,1199,1080
2024-02-19,1708300800,3224419,3170133,1180,976
2024-02-20,1708387200,3170916,3115350,1245,937
2024-02-21,1708473600,3140435,3091126,1027,914
2024-02-22,1708560000,3172177,3132249,1009,905
2024-02-23,1708646400,3225775,3182336,1034,912
2024-02-24,1708732800,3289067,3251432,1278,1042
2024-02-25,1708819200,3246271,3207880,1274,1064
2024-02-26,1708905600,3362206,3314229,1071,994
2024-02-27,1708992000,3376216,3321476,711,749
2024-02-28,1709078400,3339332,3292348,945,826
2024-02-29,1709164800,3414156,3371479,1044,860
2024-03-01,1709251200,3373855,3328815,1136,842
2024-03-02,1709337600,3423377,3385506,1124,1082
2024-03-03,1709424000,3417135,3377720,1411,1013
2024-03-04,1709510400,3467784,3424867,953,1002
2024-03-05,1709596800,3577873,3530510,881,960
2024-03-06,1709683200,3580231,3527846,917,888
2024-03-07,1709769600,3597368,3560989,1051,845
2024-03-08,1709856000,3487222,3425331,1030,885
