date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,1500,1474,310550,193616
2024-06-10 18:00:00,1718042400,1549,1534,321278,344964
2024-06-11 00:00:00,1718064000,1510,1469,383665,351292
2024-06-11 06:00:00,1718085600,1503,1473,326388,206253
2024-06-11 12:00:00,1718107200,1541,1518,396252,218914
2024-06-11 18:00:00,1718128800,1581,1554,401398,325041
2024-06-12 00:00:00,1718150400,1497,1459,334359,224190
2024-06-12 06:00:00,1718172000,1512,1489,177379,210067
2024-06-12 12:00:00,1718193600,1513,1490,410969,149725
2024-06-12 18:00:00,1718215200,1538,1515,454488,311823
2024-06-13 00:00:00,1718236800,1473,1477,417693,158098
2024-06-13 06:00:00,1718258400,1527,1488,202290,198792
2024-06-13 12:00:00,1718280000,1544,1517,299524,211248
2024-06-13 18:00:00,1718301600,1567,1535,421850,415059
2024-06-14 00:00:00,1718323200,1485,1472,441245,230670
2024-06-14 06:00:00,1718344800,1503,1490,250035,142897
2024-06-14 12:00:00,1718366400,1527,1498,322105,180136
2024-06-14 18:00:00,1718388000,1556,1524,510173,316291
2024-06-15 00:00:00,1718409600,1482,1444,501585,348988
2024-06-15 06:00:00,1718431200,1500,1478,227247,139730
2024-06-15 12:00:00,1718452800,1529,1500,380360,230634
2024-06-15 18:00:00,1718474400,1535,1508,580059,338232
2024-06-16 00:00:00,1718496000,1480,1461,624370,337037
2024-06-16 06:00:00,1718517600,1508,1492,294259,176185
2024-06-16 12:00:00,1718539200,1516,1494,502757,350793
2024-06-16 18:00:00,1718560800,1531,1504,403514,314628
2024-06-17 00:00:00,1718582400,1501,1478,376072,147999
2024-06-17 06:00:00,1718604000,1501,1475,164970,265218
2024-06-17 12:00:00,1718625600,1526,1499,574487,300324
2024-06-17 18:00:00,1718647200,1500,1472,458168,372287
2024-06-18 00:00:00,1718668800,1510,1489,474353,161460
2024-06-18 06:00:00,1718690400,1499,1490,227124,157646
2024-06-18 12:00:00,1718712000,1527,1500,651490,223524
2024-06-18 18:00:00,1718733600,1527,1510,610638,267084
2024-06-19 00:00:00,1718755200,1504,1475,471135,324610
2024-06-19 06:00:00,1718776800,1529,1506,221818,160693
2024-06-19 12:00:00,1718798400,1542,1502,301095,232033
2024-06-19 18:00:00,1718820000,1584,1565,313886,329946
2024-06-20 00:00:00,1718841600,1522,1497,477840,298378
2024-06-20 06:00:00,1718863200,1582,1544,221766,174520
2024-06-20 12:00:00,1718884800,1566,1540,393016,273939
2024-06-20 18:00:00,1718906400,1665,1617,419002,407337
2024-06-21 00:00:00,1718928000,1558,1520,401650,325941
2024-06-21 06:00:00,1718949600,1590,1556,379700,263976
2024-06-21 12:00:00,1718971200,1654,1626,327861,253798
