date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,104,103,7838673,4250589
2024-06-10 18:00:00,1718042400,105,103,7717157,4033519
2024-06-11 00:00:00,1718064000,106,104,6027303,3668456
2024-06-11 06:00:00,1718085600,106,104,4452878,2167283
2024-06-11 12:00:00,1718107200,106,104,8253977,4147090
2024-06-11 18:00:00,1718128800,107,104,6928683,4181607
2024-06-12 00:00:00,1718150400,107,105,6689418,3604589
2024-06-12 06:00:00,1718172000,107,105,5228180,2932679
2024-06-12 12:00:00,1718193600,106,104,5590850,3391077
2024-06-12 18:00:00,1718215200,106,105,8124894,2231864
2024-06-13 00:00:00,1718236800,107,106,5587195,3857583
2024-06-13 06:00:00,1718258400,105,104,5977415,1835733
2024-06-13 12:00:00,1718280000,104,103,5692529,2357569
2024-06-13 18:00:00,1718301600,106,104,4427712,2893665
2024-06-14 00:00:00,1718323200,107,105,6469304,2960174
2024-06-14 06:00:00,1718344800,106,104,3335409,1567575
2024-06-14 12:00:00,1718366400,108,105,4912715,3725675
2024-06-14 18:00:00,1718388000,107,105,6270742,3167975
2024-06-15 00:00:00,1718409600,106,104,6119193,3825854
2024-06-15 06:00:00,1718431200,106,104,5582893,1852111
2024-06-15 12:00:00,1718452800,105,103,8414723,5646615
2024-06-15 18:00:00,1718474400,103,101,7698530,1776944
2024-06-16 00:00:00,1718496000,104,102,8310987,3401624
2024-06-16 06:00:00,1718517600,101,100,4804186,2498495
2024-06-16 12:00:00,1718539200,99,97,8872831,3091904
2024-06-16 18:00:00,1718560800,102,100,6195601,2724209
2024-06-17 00:00:00,1718582400,102,100,4414464,2458061
2024-06-17 06:00:00,1718604000,105,102,3321230,2327016
2024-06-17 12:00:00,1718625600,104,101,5883217,4288233
2024-06-17 18:00:00,1718647200,104,102,8744212,3576177
2024-06-18 00:00:00,1718668800,105,102,4820165,2569082
2024-06-18 06:00:00,1718690400,106,104,3907043,1772717
