date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-04 18:00:00,1717524000,1765154,1751422,705,609
2024-06-05 00:00:00,1717545600,1766825,1750565,684,597
2024-06-05 06:00:00,1717567200,1761032,1743166,286,317
2024-06-05 12:00:00,1717588800,1763394,1744799,510,498
2024-06-05 18:00:00,1717610400,1760799,1746269,756,708
2024-06-06 00:00:00,1717632000,1760561,1743060,577,651
2024-06-06 06:00:00,1717653600,1757166,1739491,381,282
2024-06-06 12:00:00,1717675200,1758848,1741564,599,541
2024-06-06 18:00:00,1717696800,1756657,1738445,648,734
2024-06-07 00:00:00,1717718400,1758447,1741906,631,583
2024-06-07 06:00:00,1717740000,1758897,1741565,355,383
2024-06-07 12:00:00,1717761600,1756363,1740267,519,413
2024-06-07 18:00:00,1717783200,1753764,1737772,740,676
2024-06-08 00:00:00,1717804800,1751859,1733831,916,667
2024-06-08 06:00:00,1717826400,1758963,1734867,355,762
2024-06-08 12:00:00,1717848000,1786374,1766566,693,669
2024-06-08 18:00:00,1717869600,1760164,1745481,866,853
2024-06-09 00:00:00,1717891200,1757451,1742272,669,1011
2024-06-09 06:00:00,1717912800,1797708,1781724,386,733
2024-06-09 12:00:00,1717934400,1781900,1760720,539,714
2024-06-09 18:00:00,1717956000,1788292,1774745,645,1033
2024-06-10 00:00:00,1717977600,1774231,1760065,612,870
2024-06-10 06:00:00,1717999200,1769719,1752352,398,508
2024-06-10 12:00:00,1718020800,1763021,1743955,422,562
2024-06-10 18:00:00,1718042400,1766867,1747725,730,766
2024-06-11 00:00:00,1718064000,1764841,1745620,681,709
2024-06-11 06:00:00,1718085600,1761449,1742639,338,425
2024-06-11 12:00:00,1718107200,1760739,1741960,398,481
2024-06-11 18:00:00,1718128800,1755757,1736208,840,593
2024-06-12 00:00:00,1718150400,1751529,1732333,697,558
2024-06-12 06:00:00,1718172000,1750689,1729753,294,332
2024-06-12 12:00:00,1718193600,1747962,1728505,429,427
2024-06-12 18:00:00,1718215200,1742339,1725279,662,635
2024-06-13 00:00:00,1718236800,1740338,1722107,665,650
2024-06-13 06:00:00,1718258400,1742600,1726053,352,367
2024-06-13 12:00:00,1718280000,1753161,1730817,606,401
2024-06-13 18:00:00,1718301600,1747062,1731723,531,733
2024-06-14 00:00:00,1718323200,1747234,1728559,569,777
2024-06-14 06:00:00,1718344800,1769943,1746331,335,320
2024-06-14 12:00:00,1718366400,1758070,1737091,725,730
2024-06-14 18:00:00,1718388000,1757053,1737075,973,1051
2024-06-15 00:00:00,1718409600,1744314,1723915,967,978
2024-06-15 06:00:00,1718431200,1736831,1709725,414,548
2024-06-15 12:00:00,1718452800,1723732,1699033,703,699
2024-06-15 18:00:00,1718474400,1722495,1698741,792,879
2024-06-16 00:00:00,1718496000,1725470,1700456,715,790
2024-06-16 06:00:00,1718517600,1709733,1692484,562,653
2024-06-16 12:00:00,1718539200,1700369,1675737,716,708
2024-06-16 18:00:00,1718560800,1688159,1668022,640,814
2024-06-17 00:00:00,1718582400,1688747,1664099,582,629
2024-06-17 06:00:00,1718604000,1680157,1663152,288,375
2024-06-17 12:00:00,1718625600,1678152,1658915,472,770
2024-06-17 18:00:00,1718647200,1675794,1654330,932,985
2024-06-18 00:00:00,1718668800,1672273,1653467,539,697
2024-06-18 06:00:00,1718690400,1666950,1650167,241,314
2024-06-18 12:00:00,1718712000,1665485,1650138,451,615
2024-06-18 18:00:00,1718733600,1663797,1646470,697,571
2024-06-19 00:00:00,1718755200,1661992,1640573,875,684
2024-06-19 06:00:00,1718776800,1656049,1634920,270,386
2024-06-19 12:00:00,1718798400,1653659,1631662,395,560
2024-06-19 18:00:00,1718820000,1654233,1634133,526,798
2024-06-20 00:00:00,1718841600,1651400,1635492,721,615
2024-06-20 06:00:00,1718863200,1651114,1633797,280,446
2024-06-20 12:00:00,1718884800,1651307,1634233,589,518
2024-06-20 18:00:00,1718906400,1646957,1632459,583,711
2024-06-21 00:00:00,1718928000,1641940,1625071,718,717
2024-06-21 06:00:00,1718949600,1640334,1620344,352,466
2024-06-21 12:00:00,1718971200,1637572,1618920,437,518
2024-06-21 18:00:00,1718992800,1631580,1611691,746,802
2024-06-22 00:00:00,1719014400,1629546,1610936,837,743
2024-06-22 06:00:00,1719036000,1626246,1611093,263,360
2024-06-22 12:00:00,1719057600,1628395,1607676,770,716
2024-06-22 18:00:00,1719079200,1619580,1600894,875,1031
2024-06-23 00:00:00,1719100800,1614219,1591345,675,772
2024-06-23 06:00:00,1719122400,1606935,1586023,413,486
2024-06-23 12:00:00,1719144000,1603983,1583680,776,718
2024-06-23 18:00:00,1719165600,1600424,1580830,994,1208
2024-06-24 00:00:00,1719187200,1590326,1570019,639,748
2024-06-24 06:00:00,1719208800,1584578,1564346,361,324
2024-06-24 12:00:00,1719230400,1574456,1553134,577,797
2024-06-24 18:00:00,1719252000,1566444,1546120,717,879
2024-06-25 00:00:00,1719273600,1574498,1552348,747,668
2024-06-25 06:00:00,1719295200,1568923,1551786,321,367
2024-06-25 12:00:00,1719316800,1563428,1547032,575,717
2024-06-25 18:00:00,1719338400,1553845,1535483,849,1046
2024-06-26 00:00:00,1719360000,1546752,1528586,596,625
2024-06-26 06:00:00,1719381600,1544590,1523952,199,352
