date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,121,120.0,9510708,6812113
2024-06-10 18:00:00,1718042400,122,120.0,8762247,6093661
2024-06-11 00:00:00,1718064000,121,120.0,7393541,5629647
2024-06-11 06:00:00,1718085600,121,120.0,4745303,3831466
2024-06-11 12:00:00,1718107200,121,120.0,8459802,6885302
2024-06-11 18:00:00,1718128800,123,120.0,8715104,7225698
2024-06-12 00:00:00,1718150400,122,120.0,9415035,7060087
2024-06-12 06:00:00,1718172000,122,120.0,6243216,3717606
2024-06-12 12:00:00,1718193600,123,121.0,8402233,8041291
2024-06-12 18:00:00,1718215200,123,121.0,8459030,5459555
2024-06-13 00:00:00,1718236800,123,121.0,9122494,6318863
2024-06-13 06:00:00,1718258400,123,121.0,6903443,3056801
2024-06-13 12:00:00,1718280000,124,122.0,7526772,5955585
2024-06-13 18:00:00,1718301600,125,122.0,7827431,7997256
2024-06-14 00:00:00,1718323200,125,122.0,8716874,6022056
2024-06-14 06:00:00,1718344800,126,123.0,4643419,3704919
2024-06-14 12:00:00,1718366400,125,123.0,9753255,6472947
2024-06-14 18:00:00,1718388000,125,123.0,8084145,6197760
2024-06-15 00:00:00,1718409600,125,123.0,8516021,6906614
2024-06-15 06:00:00,1718431200,125,123.0,6522058,3843634
2024-06-15 12:00:00,1718452800,125,123.0,9717735,6880758
2024-06-15 18:00:00,1718474400,125,123.0,8362135,6146182
2024-06-16 00:00:00,1718496000,125,123.0,6493422,6782047
2024-06-16 06:00:00,1718517600,125,123.0,6791363,5580356
2024-06-16 12:00:00,1718539200,125,123.0,10195274,7706037
2024-06-16 18:00:00,1718560800,125,123.0,6885705,5504370
2024-06-17 00:00:00,1718582400,125,124.0,7964955,3974027
2024-06-17 06:00:00,1718604000,126,123.0,4957664,3593163
2024-06-17 12:00:00,1718625600,126,124.0,8796817,6162824
2024-06-17 18:00:00,1718647200,126,124.0,9125577,5104451
2024-06-18 00:00:00,1718668800,126,124.0,5867197,5317886
2024-06-18 06:00:00,1718690400,125,124.0,3655811,3766793
2024-06-18 12:00:00,1718712000,126,124.0,12375128,5093270
2024-06-18 18:00:00,1718733600,127,124.0,11432914,6122275
2024-06-19 00:00:00,1718755200,127,125.0,8622077,8103068
2024-06-19 06:00:00,1718776800,128,125.0,5036273,4218339
2024-06-19 12:00:00,1718798400,131,127.0,7080951,7489196
2024-06-19 18:00:00,1718820000,132,129.0,12377868,6864169
2024-06-20 00:00:00,1718841600,131,128.0,8149290,8053135
2024-06-20 06:00:00,1718863200,133,130.0,4560617,5981125
2024-06-20 12:00:00,1718884800,135,133.0,4984180,6807000
2024-06-20 18:00:00,1718906400,137,134.0,5767577,8039051
2024-06-21 00:00:00,1718928000,138,135.0,5434164,6942594
2024-06-21 06:00:00,1718949600,139,136.0,4657480,4693447
2024-06-21 12:00:00,1718971200,142,139.0,5984603,7467399
2024-06-21 18:00:00,1718992800,143,140.0,6474274,7806593
2024-06-22 00:00:00,1719014400,146,142.0,7858734,8328062
2024-06-22 06:00:00,1719036000,144,141.0,4847881,5391069
2024-06-22 12:00:00,1719057600,143,141.0,8655868,9393206
2024-06-22 18:00:00,1719079200,143,140.0,10317265,7561331
2024-06-23 00:00:00,1719100800,141,139.0,7786181,6727812
2024-06-23 06:00:00,1719122400,142,140.0,6462966,4425209
2024-06-23 12:00:00,1719144000,141,139.0,8731022,6429878
2024-06-23 18:00:00,1719165600,141,138.0,10496482,6156241
2024-06-24 00:00:00,1719187200,141,138.0,10517898,6383256
2024-06-24 06:00:00,1719208800,140,138.0,7830296,3737123
2024-06-24 12:00:00,1719230400,140,138.0,8922062,7965651
2024-06-24 18:00:00,1719252000,141,139.0,9181044,6790302
2024-06-25 00:00:00,1719273600,140,138.0,8351747,7621926
2024-06-25 06:00:00,1719295200,141,138.0,5009609,3129028
2024-06-25 12:00:00,1719316800,141,139.0,7590772,5932012
2024-06-25 18:00:00,1719338400,142,140.0,8547858,6185298
2024-06-26 00:00:00,1719360000,143,140.0,10260537,10398739
2024-06-26 06:00:00,1719381600,143,140.0,3568634,4036832
2024-06-26 12:00:00,1719403200,146,143.0,7088593,7246988
2024-06-26 18:00:00,1719424800,149,146.0,4228054,6416179
2024-06-27 00:00:00,1719446400,149,146.0,4538036,8961621
2024-06-27 06:00:00,1719468000,149,146.0,4186874,6070211
