date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,296,294,115044,245178
2024-06-10 18:00:00,1718042400,292,285,76508,369313
2024-06-11 00:00:00,1718064000,301,289,98240,360408
2024-06-11 06:00:00,1718085600,318,306,37131,139641
2024-06-11 12:00:00,1718107200,303,296,88860,216482
2024-06-11 18:00:00,1718128800,286,280,118835,364453
2024-06-12 00:00:00,1718150400,273,274,215718,238549
2024-06-12 06:00:00,1718172000,284,282,86267,138916
2024-06-12 12:00:00,1718193600,283,274,143688,276521
2024-06-12 18:00:00,1718215200,297,296,108514,273488
2024-06-13 00:00:00,1718236800,299,292,113628,301520
2024-06-13 06:00:00,1718258400,300,295,49115,204852
2024-06-13 12:00:00,1718280000,295,292,104837,179000
2024-06-13 18:00:00,1718301600,309,303,100212,221579
2024-06-14 00:00:00,1718323200,295,294,141014,210843
2024-06-14 06:00:00,1718344800,327,312,86311,126465
2024-06-14 12:00:00,1718366400,302,297,70966,197717
2024-06-14 18:00:00,1718388000,314,312,95052,297818
2024-06-15 00:00:00,1718409600,302,298,173943,232622
2024-06-15 06:00:00,1718431200,331,319,47473,288829
2024-06-15 12:00:00,1718452800,303,299,140140,323928
2024-06-15 18:00:00,1718474400,304,302,119546,314329
2024-06-16 00:00:00,1718496000,311,304,75583,260444
2024-06-16 06:00:00,1718517600,297,303,133439,161510
2024-06-16 12:00:00,1718539200,295,289,170503,203180
2024-06-16 18:00:00,1718560800,297,289,251074,229877
2024-06-17 00:00:00,1718582400,301,296,156875,211619
2024-06-17 06:00:00,1718604000,327,315,28514,142169
2024-06-17 12:00:00,1718625600,358,347,81129,357128
2024-06-17 18:00:00,1718647200,339,327,122393,348824
2024-06-18 00:00:00,1718668800,341,336,96847,259835
2024-06-18 06:00:00,1718690400,363,354,99366,184110
2024-06-18 12:00:00,1718712000,342,336,124971,284936
2024-06-18 18:00:00,1718733600,323,318,133616,374796
2024-06-19 00:00:00,1718755200,323,316,80552,324431
2024-06-19 06:00:00,1718776800,314,310,71197,183493
2024-06-19 12:00:00,1718798400,321,313,122178,221631
2024-06-19 18:00:00,1718820000,310,304,223653,206449
2024-06-20 00:00:00,1718841600,319,315,168668,227060
2024-06-20 06:00:00,1718863200,306,303,102340,125013
2024-06-20 12:00:00,1718884800,301,291,94385,162350
2024-06-20 18:00:00,1718906400,296,289,143238,208831
2024-06-21 00:00:00,1718928000,306,299,118270,225859
2024-06-21 06:00:00,1718949600,301,292,79850,163696
2024-06-21 12:00:00,1718971200,294,287,166847,221499
2024-06-21 18:00:00,1718992800,283,279,150807,206669
2024-06-22 00:00:00,1719014400,292,284,152061,138651
2024-06-22 06:00:00,1719036000,287,283,80555,125882
2024-06-22 12:00:00,1719057600,276,267,193597,152580
2024-06-22 18:00:00,1719079200,259,248,178689,348136
2024-06-23 00:00:00,1719100800,261,249,206944,269151
2024-06-23 06:00:00,1719122400,259,254,115395,206688
2024-06-23 12:00:00,1719144000,256,249,158495,230715
2024-06-23 18:00:00,1719165600,261,253,194688,273847
2024-06-24 00:00:00,1719187200,259,249,154329,218157
2024-06-24 06:00:00,1719208800,264,259,62068,148355
2024-06-24 12:00:00,1719230400,250,251,127661,233750
2024-06-24 18:00:00,1719252000,241,236,169822,250680
2024-06-25 00:00:00,1719273600,238,227,123247,211724
2024-06-25 06:00:00,1719295200,243,237,93321,150240
2024-06-25 12:00:00,1719316800,245,238,134091,162246
2024-06-25 18:00:00,1719338400,245,238,154078,245512
2024-06-26 00:00:00,1719360000,248,244,103747,203070
2024-06-26 06:00:00,1719381600,267,269,25303,121099
2024-06-26 12:00:00,1719403200,261,255,115313,240840
2024-06-26 18:00:00,1719424800,244,239,108414,231944
2024-06-27 00:00:00,1719446400,251,249,87317,235358
2024-06-27 06:00:00,1719468000,248,246,38336,128733
2024-06-27 12:00:00,1719489600,256,249,153916,265429
2024-06-27 18:00:00,1719511200,231,240,196639,236969
2024-06-28 00:00:00,1719532800,242,236,185553,193302
2024-06-28 06:00:00,1719554400,265,258,85953,191190
2024-06-28 12:00:00,1719576000,282,270,71148,167399
