date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,81,79.0,372863,486477
2024-06-10 18:00:00,1718042400,82,81.0,159134,361277
2024-06-11 00:00:00,1718064000,81,79.0,379908,445753
2024-06-11 06:00:00,1718085600,82,82.0,138506,271388
2024-06-11 12:00:00,1718107200,79,79.0,293869,435123
2024-06-11 18:00:00,1718128800,81,80.0,179040,300898
2024-06-12 00:00:00,1718150400,79,78.0,260957,501621
2024-06-12 06:00:00,1718172000,81,81.0,120924,365779
2024-06-12 12:00:00,1718193600,81,80.0,364917,540488
2024-06-12 18:00:00,1718215200,82,80.0,233673,201867
2024-06-13 00:00:00,1718236800,81,80.0,408629,431688
2024-06-13 06:00:00,1718258400,82,81.0,184447,202097
2024-06-13 12:00:00,1718280000,81,81.0,303613,503609
2024-06-13 18:00:00,1718301600,83,83.0,70232,277718
2024-06-14 00:00:00,1718323200,81,82.0,191193,385522
2024-06-14 06:00:00,1718344800,83,83.0,117260,272197
2024-06-14 12:00:00,1718366400,82,82.0,308369,464331
2024-06-14 18:00:00,1718388000,83,82.0,234865,343671
2024-06-15 00:00:00,1718409600,82,81.0,274278,614365
2024-06-15 06:00:00,1718431200,82,81.0,245533,329641
2024-06-15 12:00:00,1718452800,82,82.0,336305,615737
2024-06-15 18:00:00,1718474400,83,84.0,138676,358059
2024-06-16 00:00:00,1718496000,83,82.0,496584,593627
2024-06-16 06:00:00,1718517600,82,82.0,201185,428979
2024-06-16 12:00:00,1718539200,81,81.0,330702,877232
2024-06-16 18:00:00,1718560800,85,83.0,141649,265168
2024-06-17 00:00:00,1718582400,84,84.0,174299,219991
2024-06-17 06:00:00,1718604000,83,84.0,82512,146578
2024-06-17 12:00:00,1718625600,82,82.0,104186,238941
2024-06-17 18:00:00,1718647200,84,84.0,152392,189299
2024-06-18 00:00:00,1718668800,83,82.0,126017,278652
2024-06-18 06:00:00,1718690400,83,81.0,114760,152446
2024-06-18 12:00:00,1718712000,83,81.0,116519,274812
2024-06-18 18:00:00,1718733600,83,84.0,126974,184046
2024-06-19 00:00:00,1718755200,83,82.0,300740,330398
2024-06-19 06:00:00,1718776800,83,83.0,112181,138642
2024-06-19 12:00:00,1718798400,83,82.0,212272,312796
2024-06-19 18:00:00,1718820000,84,83.0,139233,157707
2024-06-20 00:00:00,1718841600,84,83.0,284808,377912
2024-06-20 06:00:00,1718863200,83,83.0,142324,140531
2024-06-20 12:00:00,1718884800,83,82.0,158527,250274
2024-06-20 18:00:00,1718906400,84,84.0,214379,270526
2024-06-21 00:00:00,1718928000,84,83.0,220896,278220
2024-06-21 06:00:00,1718949600,85,84.0,66327,239497
2024-06-21 12:00:00,1718971200,84,83.0,337629,316550
2024-06-21 18:00:00,1718992800,84,84.0,557613,325654
2024-06-22 00:00:00,1719014400,84,82.0,283476,611800
2024-06-22 06:00:00,1719036000,84,83.0,204286,178279
2024-06-22 12:00:00,1719057600,84,83.0,295000,430040
2024-06-22 18:00:00,1719079200,84,84.0,190758,215082
2024-06-23 00:00:00,1719100800,84,83.0,306255,494822
2024-06-23 06:00:00,1719122400,83,82.0,205346,288618
2024-06-23 12:00:00,1719144000,83,82.0,258331,390802
2024-06-23 18:00:00,1719165600,85,83.0,309468,241286
2024-06-24 00:00:00,1719187200,84,82.0,314260,407394
2024-06-24 06:00:00,1719208800,83,82.0,158203,265690
2024-06-24 12:00:00,1719230400,83,82.0,373617,510797
2024-06-24 18:00:00,1719252000,83,82.0,177919,275357
2024-06-25 00:00:00,1719273600,83,82.0,228307,537008
2024-06-25 06:00:00,1719295200,83,82.0,97261,231435
