date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,3792,3761,11294,24201
2024-06-10 18:00:00,1718042400,3755,3770,7650,33868
2024-06-11 00:00:00,1718064000,3735,3688,5637,26311
2024-06-11 06:00:00,1718085600,3643,3639,876,34113
2024-06-11 12:00:00,1718107200,3788,3730,4144,15103
2024-06-11 18:00:00,1718128800,3722,3694,6255,34241
2024-06-12 00:00:00,1718150400,3671,3592,15283,18767
2024-06-12 06:00:00,1718172000,3638,3669,5539,7054
2024-06-12 12:00:00,1718193600,3553,3562,31009,23972
2024-06-12 18:00:00,1718215200,3615,3628,15280,19920
2024-06-13 00:00:00,1718236800,3711,3706,3123,37574
2024-06-13 06:00:00,1718258400,3694,3738,2521,26214
2024-06-13 12:00:00,1718280000,3760,3730,2651,23219
2024-06-13 18:00:00,1718301600,3902,3758,6994,44419
2024-06-14 00:00:00,1718323200,3857,3809,2746,21197
2024-06-14 06:00:00,1718344800,3794,3762,1906,15863
2024-06-14 12:00:00,1718366400,3950,3852,27867,54774
2024-06-14 18:00:00,1718388000,3888,3802,13061,34281
2024-06-15 00:00:00,1718409600,3918,3853,1524,33797
2024-06-15 06:00:00,1718431200,3843,3818,9836,22407
2024-06-15 12:00:00,1718452800,3968,3953,14010,33618
2024-06-15 18:00:00,1718474400,3973,3907,2903,33733
2024-06-16 00:00:00,1718496000,3859,3855,9352,23887
2024-06-16 06:00:00,1718517600,3849,3839,1717,36862
2024-06-16 12:00:00,1718539200,3894,3890,14482,43939
2024-06-16 18:00:00,1718560800,3938,3949,7164,29466
2024-06-17 00:00:00,1718582400,3885,3863,6474,19421
2024-06-17 06:00:00,1718604000,3874,3776,3222,16776
2024-06-17 12:00:00,1718625600,3856,3838,9473,37683
2024-06-17 18:00:00,1718647200,3904,3930,12871,28707
2024-06-18 00:00:00,1718668800,3858,3754,3569,22197
2024-06-18 06:00:00,1718690400,3849,3788,3813,13759
2024-06-18 12:00:00,1718712000,3885,3894,4842,22395
2024-06-18 18:00:00,1718733600,4058,3974,17834,23662
2024-06-19 00:00:00,1718755200,3841,3823,2896,33939
2024-06-19 06:00:00,1718776800,3853,3840,1276,15356
2024-06-19 12:00:00,1718798400,3853,3884,3570,17200
2024-06-19 18:00:00,1718820000,3887,3929,8632,28710
2024-06-20 00:00:00,1718841600,3906,3994,4924,28959
2024-06-20 06:00:00,1718863200,4037,4019,1819,20815
2024-06-20 12:00:00,1718884800,4020,3992,2037,16863
2024-06-20 18:00:00,1718906400,4012,3931,5549,30529
2024-06-21 00:00:00,1718928000,3929,3885,2958,17966
2024-06-21 06:00:00,1718949600,3925,3916,2732,5684
2024-06-21 12:00:00,1718971200,3945,3896,3614,15320
2024-06-21 18:00:00,1718992800,4033,4019,5689,19146
2024-06-22 00:00:00,1719014400,4150,4113,5086,19911
2024-06-22 06:00:00,1719036000,3971,3970,22754,15452
2024-06-22 12:00:00,1719057600,4017,3976,2811,20835
2024-06-22 18:00:00,1719079200,4038,4030,6273,19696
2024-06-23 00:00:00,1719100800,4053,4022,5884,19040
2024-06-23 06:00:00,1719122400,4089,4037,4725,24824
2024-06-23 12:00:00,1719144000,4138,4041,5196,23709
2024-06-23 18:00:00,1719165600,4146,4083,6032,31335
2024-06-24 00:00:00,1719187200,4122,4089,16949,64109
2024-06-24 06:00:00,1719208800,4077,4083,6806,7339
2024-06-24 12:00:00,1719230400,4079,4064,13440,13318
2024-06-24 18:00:00,1719252000,4071,4023,8675,42023
2024-06-25 00:00:00,1719273600,4049,3990,10736,28949
2024-06-25 06:00:00,1719295200,4031,4013,5060,14917
2024-06-25 12:00:00,1719316800,4055,4025,7543,33897
2024-06-25 18:00:00,1719338400,4014,4000,7808,19103
2024-06-26 00:00:00,1719360000,4029,4025,9878,40235
2024-06-26 06:00:00,1719381600,4095,4019,2353,9282
2024-06-26 12:00:00,1719403200,4081,3994,7190,15890
2024-06-26 18:00:00,1719424800,4165,4130,18137,18069
2024-06-27 00:00:00,1719446400,4239,4164,7505,17549
2024-06-27 06:00:00,1719468000,4201,4132,5581,10906
2024-06-27 12:00:00,1719489600,4309,4181,12184,14781
2024-06-27 18:00:00,1719511200,4315,4280,5176,19948
2024-06-28 00:00:00,1719532800,4563,4519,10099,32921
2024-06-28 06:00:00,1719554400,4446,4457,7113,15348
2024-06-28 12:00:00,1719576000,4365,4394,3899,17393
2024-06-28 18:00:00,1719597600,4492,4468,1518,19517
2024-06-29 00:00:00,1719619200,4508,4423,2707,86534
2024-06-29 06:00:00,1719640800,4355,4372,10410,13672
2024-06-29 12:00:00,1719662400,4346,4358,27872,48482
2024-06-29 18:00:00,1719684000,4362,4308,9684,62995
2024-06-30 00:00:00,1719705600,4396,4386,8658,39848
2024-06-30 06:00:00,1719727200,4370,4372,6509,24958
2024-06-30 12:00:00,1719748800,4314,4234,7055,18178
2024-06-30 18:00:00,1719770400,4265,4231,11208,63601
2024-07-01 00:00:00,1719792000,4278,4222,5939,37438
2024-07-01 06:00:00,1719813600,4249,4231,3462,33771
2024-07-01 12:00:00,1719835200,4221,4176,5722,26764
2024-07-01 18:00:00,1719856800,4194,4157,17000,28941
2024-07-02 00:00:00,1719878400,4144,4123,11941,41995
2024-07-02 06:00:00,1719900000,4134,4129,7034,26814
2024-07-02 12:00:00,1719921600,4172,4140,11086,23568
2024-07-02 18:00:00,1719943200,4133,4106,3907,23929
2024-07-03 00:00:00,1719964800,4117,4083,2778,29537
2024-07-03 06:00:00,1719986400,4094,4071,4645,13282
2024-07-03 12:00:00,1720008000,4016,3998,7913,17440
2024-07-03 18:00:00,1720029600,4063,3993,7480,37379
2024-07-04 00:00:00,1720051200,4020,3953,4566,18767
2024-07-04 06:00:00,1720072800,4000,3995,10469,18658
2024-07-04 12:00:00,1720094400,4035,4015,10320,26611
2024-07-04 18:00:00,1720116000,4014,3982,13563,40805
