date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,141,140,3960111,4977655
2024-06-10 18:00:00,1718042400,142,140,3358443,4410849
2024-06-11 00:00:00,1718064000,141,140,4168592,4736264
2024-06-11 06:00:00,1718085600,141,140,2610840,2581755
2024-06-11 12:00:00,1718107200,141,140,3458248,4493947
2024-06-11 18:00:00,1718128800,142,140,2590713,4809353
2024-06-12 00:00:00,1718150400,141,139,3875653,6204136
2024-06-12 06:00:00,1718172000,141,140,2293455,3438680
2024-06-12 12:00:00,1718193600,141,140,4077077,4509095
2024-06-12 18:00:00,1718215200,142,141,2416028,5122446
2024-06-13 00:00:00,1718236800,141,140,3736244,5065543
2024-06-13 06:00:00,1718258400,142,140,1720301,2937929
2024-06-13 12:00:00,1718280000,142,140,3511579,4685968
2024-06-13 18:00:00,1718301600,142,140,2844725,4139962
2024-06-14 00:00:00,1718323200,142,140,4086037,5113235
2024-06-14 06:00:00,1718344800,143,141,3410920,2914439
2024-06-14 12:00:00,1718366400,141,139,3499216,4155210
2024-06-14 18:00:00,1718388000,141,139,3175254,4273031
2024-06-15 00:00:00,1718409600,137,135,4563139,5294099
2024-06-15 06:00:00,1718431200,139,138,3151812,3408886
2024-06-15 12:00:00,1718452800,137,135,5076153,4424958
2024-06-15 18:00:00,1718474400,136,135,4969223,4145815
2024-06-16 00:00:00,1718496000,135,132,5475805,4340792
2024-06-16 06:00:00,1718517600,136,134,4125528,4033294
2024-06-16 12:00:00,1718539200,126,128,6363879,5009679
2024-06-16 18:00:00,1718560800,133,131,4392759,4389275
2024-06-17 00:00:00,1718582400,136,133,2812430,3997516
2024-06-17 06:00:00,1718604000,138,136,1529158,3641260
2024-06-17 12:00:00,1718625600,138,135,2345973,5159763
2024-06-17 18:00:00,1718647200,136,134,2615645,5489934
2024-06-18 00:00:00,1718668800,135,134,2374054,4571532
2024-06-18 06:00:00,1718690400,137,135,2984883,3116551
2024-06-18 12:00:00,1718712000,138,136,2688804,4838827
2024-06-18 18:00:00,1718733600,139,137,2446641,5116329
2024-06-19 00:00:00,1718755200,137,134,4262865,5190646
2024-06-19 06:00:00,1718776800,137,135,1494697,2777922
2024-06-19 12:00:00,1718798400,136,134,2694847,4138892
2024-06-19 18:00:00,1718820000,137,134,2941415,4327845
2024-06-20 00:00:00,1718841600,137,135,2451925,4716419
2024-06-20 06:00:00,1718863200,138,136,1587471,3207954
2024-06-20 12:00:00,1718884800,139,137,2782280,4462699
2024-06-20 18:00:00,1718906400,138,137,3533929,4255364
2024-06-21 00:00:00,1718928000,139,137,2943252,4849790
2024-06-21 06:00:00,1718949600,138,137,3374105,3361264
2024-06-21 12:00:00,1718971200,138,137,3493109,4036728
2024-06-21 18:00:00,1718992800,138,136,2385950,3940966
2024-06-22 00:00:00,1719014400,138,136,3267777,5127059
2024-06-22 06:00:00,1719036000,139,137,2191842,2893636
2024-06-22 12:00:00,1719057600,138,136,3690789,4871213
2024-06-22 18:00:00,1719079200,138,136,3149071,5189455
2024-06-23 00:00:00,1719100800,136,134,3962954,5929943
2024-06-23 06:00:00,1719122400,137,135,2619153,4068845
