date,timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2024-06-10 12:00:00,1718020800,1,,94874314,0
2024-06-10 18:00:00,1718042400,1,,39447952,0
2024-06-11 00:00:00,1718064000,1,,82246304,0
2024-06-11 06:00:00,1718085600,1,,43653061,0
2024-06-11 12:00:00,1718107200,1,2.0,104277849,281000
2024-06-11 18:00:00,1718128800,1,1.0,43295304,274530
2024-06-12 00:00:00,1718150400,1,1.0,87672984,108371
2024-06-12 06:00:00,1718172000,1,1.0,58084144,130330
2024-06-12 12:00:00,1718193600,1,2.0,84734399,19288
2024-06-12 18:00:00,1718215200,1,,28016904,0
2024-06-13 00:00:00,1718236800,1,2.0,77305594,30100
2024-06-13 06:00:00,1718258400,1,2.0,36248631,57209
2024-06-13 12:00:00,1718280000,1,1.0,108820592,177752
2024-06-13 18:00:00,1718301600,1,2.0,37418263,30000
2024-06-14 00:00:00,1718323200,1,,63238954,0
2024-06-14 06:00:00,1718344800,1,1.0,27454831,455170
2024-06-14 12:00:00,1718366400,1,,74651110,0
2024-06-14 18:00:00,1718388000,1,2.0,58662548,60000
2024-06-15 00:00:00,1718409600,1,,110364968,0
2024-06-15 06:00:00,1718431200,1,2.0,64659969,921911
2024-06-15 12:00:00,1718452800,1,1.0,104391911,109263
2024-06-15 18:00:00,1718474400,1,,57885035,0
2024-06-16 00:00:00,1718496000,1,2.0,91702015,90000
2024-06-16 06:00:00,1718517600,1,2.0,75398416,195247
2024-06-16 12:00:00,1718539200,1,2.0,131707984,60000
2024-06-16 18:00:00,1718560800,1,1.0,73035944,114242
2024-06-17 00:00:00,1718582400,1,1.0,25317798,111243
2024-06-17 06:00:00,1718604000,1,,23198133,0
2024-06-17 12:00:00,1718625600,1,,42844607,0
2024-06-17 18:00:00,1718647200,1,2.0,25144831,99551
2024-06-18 00:00:00,1718668800,1,2.0,33617573,119999
2024-06-18 06:00:00,1718690400,1,,33033278,0
2024-06-18 12:00:00,1718712000,1,2.0,55295280,74477
2024-06-18 18:00:00,1718733600,1,,24573640,0
2024-06-19 00:00:00,1718755200,1,2.0,63185924,266028
2024-06-19 06:00:00,1718776800,1,2.0,26062578,122000
2024-06-19 12:00:00,1718798400,1,,58687052,0
2024-06-19 18:00:00,1718820000,1,2.0,26717361,154310
2024-06-20 00:00:00,1718841600,1,,54963052,0
2024-06-20 06:00:00,1718863200,1,2.0,29639306,73440
2024-06-20 12:00:00,1718884800,1,,34701144,0
